scenario_id,category,name,duration_ms,expected_top1,api_top1,api_top1_cf,api_top3,expected_top3_all,expected_urgency,api_urgency,expected_red_flags,api_red_flags,api_explanation_source,api_evidence_count,top1_correct,top3_correct,top3_coverage,urgency_correct,red_flag_recall,refusal_appropriate,ok,error
S19,redflag,Pneumonia berat dengan sesak napas,2446,P006,P006,0.8858,P006,P006,HIGH,EMERGENCY,Sesak napas;Sulit bernapas;Napas cepat,Napas cepat;Sesak napas;Sulit bernapas,rag_llm,5,1,1,1,0,1,,1,
S20,redflag,DBD dengan tanda perdarahan (warning signs),13582,P004,P004,0.9219,P004,P004,HIGH,EMERGENCY,Muntah persisten;Mimisan;Gusi berdarah;Letih berat / sangat lemas,Muntah persisten;Mimisan;Gusi berdarah;Letih berat / sangat lemas,rag_llm,5,1,1,1,0,1,,1,
S21,redflag,Malaria berat dengan kejang,12948,P014,P014,0.714,P014,P014,EMERGENCY,EMERGENCY,Kejang,Kejang,rag_llm,5,1,1,1,1,1,,1,
S22,redflag,Roseola dengan kejang demam (G032 vs G045),7003,P010,P010,0.8774,P010,P010,HIGH,HIGH,Kejang demam,Kejang demam,rag_llm,5,1,1,1,1,1,,1,
S23,redflag,Gastroenteritis dengan dehidrasi berat,11520,P005,P005,0.843,P005,P005,HIGH,HIGH,Tidak mau minum;Letih berat / sangat lemas,Tidak mau minum;Letih berat / sangat lemas,rag_llm,5,1,1,1,1,1,,1,
S24,redflag,Demam dengan gangguan kesadaran (EMERGENCY override),6929,P004,P004,0.7957,P004,P004,EMERGENCY,EMERGENCY,Letih berat / sangat lemas;Gangguan kesadaran,Letih berat / sangat lemas;Gangguan kesadaran,rag_llm,5,1,1,1,1,1,,1,
S25,edge,Gejala tunggal tidak spesifik,457,,,,,,LOW,LOW,,,template,0,1,1,1,1,1,,1,
S26,edge,Keyakinan rendah pada semua gejala,2464,P003,P003,0.2808,P003,P003,LOW,MEDIUM,,,rag_llm,5,1,1,1,0,1,,1,
S27,edge,Top-2 hampir sama (diferensial sulit),14136,P003,P003,0.7736,P003;P006,P003;P006,HIGH,HIGH,Napas cepat,Napas cepat,rag_llm,5,1,1,1,1,1,,1,
S28,out_of_context,Pertanyaan cuaca (non-medis),9223,,,,,,,,,,,0,0,0,0,0,0,1,1,
S29,out_of_context,Pertanyaan finansial / non-diagnostik,10092,,,,,,,,,,,0,0,0,0,0,0,1,1,
S30,out_of_context,Penyakit dewasa / di luar scope,5197,,,,,,,,,,,0,0,0,0,0,0,1,1,
